index,sector,weights
IXIC,Info Tech,0.256867648200526
IXIC,Consumer Discretionary,0.50594993404182
GSPC,Info Tech,-0.417312936688913
GSPC,Real Estate,0.128346518328726
S5INFT,Info Tech,0.725882168660383
RUT,Info Tech,0.0834311910523826
RUT,Real Estate,-0.0606983108501237
VIGAX,Info Tech,0.336965312548951
RMZ,Real Estate,5.4216928509758e-4
VNQ,Real Estate,0.954824091114524
VNQ,Consumer Discretionary,0.0549208520321038
KIE,Insurance,0.73313213069279
DJI,Insurance,0.254969274032806
DJI,Consumer Discretionary,0.197355181476061
SML,Insurance,-0.102979588085148
XLV,Health Care,0.0969779285421806
XLV,Insurance,0.10379718973998
TFSIX,Insurance,0.157264187223904
DJSMDQ,Health Care,0.667386390385584
XHE,Health Care,0.196502626444886
