"","Weights","Fund_SPHIX"
"(Intercept)",0,"(Intercept)"
"LMBITR.Index",0.0245640560643463,"LMBITR"
"LD20TRUU.Index",-0.435977750182221,"LD20TRUU"
"LBUSTRUU.Index.x",-3.52443669873623,"LBUSTRUU.x"
"LC07TRUU.Index",3.87612487688529,"LC07TRUU"
"LGNMTRUU.Index",0.0697690973508559,"LGNMTRUU"
"GFSI.Index",0.00195468563198603,"GFSI"
"LEGATRUU.Index",-0.285107845480217,"LEGATRUU"
"LBUSTRUU.Index.y",0.700219601237794,"LBUSTRUU.y"
"LUATTRUU.Index",-1.03287269921512,"LUATTRUU"
"BEIG1T.Index",0.0553730303216414,"BEIG1T"
"ASX.Index",0.0163516987931554,"ASX"
"JPMTUS...Index",0.69209411701318,"JPMTUS.."
"FXJPEMCS.Index",-0.019383811447061,"FXJPEMCS"
"MRIEM.Index",0.00217020985410483,"MRIEM"
"LG30TRUU.Index",0.671892149061571,"LG30TRUU"
"SPUIGFOT.Index",-0.333322107921457,"SPUIGFOT"
